x;y;id;location_code;location;gene;gene_ensembl_id;cell_line
 15.241698;9.540831;19286_614_A4_1;23;Mitochondria;AKAP1;ENSG00000121057;U-2 OS
 17.267761;11.982998;19286_614_A4_2;23;Mitochondria;AKAP1;ENSG00000121057;U-2 OS
 15.11781; 9.239663;5548_4_E4_1;23;Mitochondria;HDHD5;ENSG00000069998;U-2 OS
  14.082617; 10.033386;5548_4_E4_2;23;Mitochondria;HDHD5;ENSG00000069998;U-2 OS
  14.3831005;10.369035;51514_775_A4_1;23;Mitochondria;GPT2;ENSG00000166123;A-431
   15.753968;11.66437;51514_775_A4_2;23;Mitochondria;GPT2;ENSG00000166123;A-431
 18.357033;8.438364;47779_876_A4_1;23;Mitochondria;MRPL47;ENSG00000136522;A-431
 18.651587;   8.971668;47779_876_A4_2;23;Mitochondria;MRPL47;ENSG00000136522;A-431
 14.849342;   10.951431;5548_6_E4_1;23;Mitochondria;HDHD5;ENSG00000069998;U-251 MG
 16.542648;  12.51549;5548_6_E4_2;23;Mitochondria;HDHD5;ENSG00000069998;U-251 MG
 18.221083;   10.075243;8333_7_F12_1;23;Mitochondria;ALDH18A1;ENSG00000059573;U-2 OS
 18.121597;   10.182892;8333_7_F12_2;23;Mitochondria;ALDH18A1;ENSG00000059573;U-2 OS
 15.639304; 12.245126;7126_9_A11_1;23;Mitochondria;ADNP2;ENSG00000101544;U-251 MG
 16.2761; 11.969254;7126_9_A11_2;23;Mitochondria;ADNP2;ENSG00000101544;U-251 MG
 16.285563; 12.16309;8333_9_F12_1;23;Mitochondria;ALDH18A1;ENSG00000059573;U-251 MG
 15.213191;  11.569788;8333_9_F12_2;23;Mitochondria;ALDH18A1;ENSG00000059573;U-251 MG
 15.0317335 ;  11.718296;243_13_A3_1;23;Mitochondria;OTC;ENSG00000036473;U-2 OS
 16.738855; 10.620205;243_13_A3_2;23;Mitochondria;OTC;ENSG00000036473;U-2 OS
 15.247906; 10.748961;5835_13_D11_1;23;Mitochondria;ECH1;ENSG00000104823;U-2 OS
 17.307829; 10.857966;5835_13_D11_2;23;Mitochondria;ECH1;ENSG00000104823;U-2 OS
 15.749977; 10.486493;243_14_A3_1;23;Mitochondria;OTC;ENSG00000036473;A-431
 14.926027; 12.635041;243_14_A3_2;23;Mitochondria;OTC;ENSG00000036473;A-431
 19.325642;  9.63202;243_16_A3_1;23;Mitochondria;OTC;ENSG00000036473;U-251 MG
 17.146173;  9.782614;243_16_A3_2;23;Mitochondria;OTC;ENSG00000036473;U-251 MG
 17.328442; 10.444465;5835_16_D11_1;23;Mitochondria;ECH1;ENSG00000104823;U-251 MG
 16.443447;  9.694049;5835_16_D11_2;23;Mitochondria;ECH1;ENSG00000104823;U-251 MG
 17.306137;  11.386119;2932_17_G3_1;23;Mitochondria;TIMM9;ENSG00000100575;U-2 OS
 15.785274; 12.750547;2932_17_G3_2;23;Mitochondria;TIMM9;ENSG00000100575;U-2 OS
 14.433169;  9.550757;2932_18_G3_1;23;Mitochondria;TIMM9;ENSG00000100575;U-251 MG
 16.663391;  12.638028;2932_18_G3_2;23;Mitochondria;TIMM9;ENSG00000100575;U-251 MG
 15.038437; 10.830383;2932_19_G3_1;23;Mitochondria;TIMM9;ENSG00000100575;A-431
 17.719967; 11.285662;2932_19_G3_2;23;Mitochondria;TIMM9;ENSG00000100575;A-431
 14.44241; 10.155937;994_20_B8_1;23;Mitochondria;TXN2;ENSG00000100348;U-2 OS
  16.829939; 12.341326;994_20_B8_2;23;Mitochondria;TXN2;ENSG00000100348;U-2 OS
  15.476972;  8.654499;1097_20_E8_1;23;Mitochondria;ACO2;ENSG00000100412;U-2 OS
 15.35751;  10.412868;1097_20_E8_2;23;Mitochondria;ACO2;ENSG00000100412;U-2 OS
 15.541988; 12.327828;994_21_B8_1;23;Mitochondria;TXN2;ENSG00000100348;A-431
 16.293997; 12.601666;994_21_B8_2;23;Mitochondria;TXN2;ENSG00000100348;A-431
 16.99733; 11.541331;1097_21_E8_1;23;Mitochondria;ACO2;ENSG00000100412;A-431
  14.598829;  9.265544;1097_21_E8_2;23;Mitochondria;ACO2;ENSG00000100412;A-431
  14.170396;  9.70645;2946_23_C9_1;23;Mitochondria;HCCS;ENSG00000004961;U-2 OS
 15.548212;  12.609859;2946_23_C9_2;23;Mitochondria;HCCS;ENSG00000004961;U-2 OS
 16.35823;9.210623;2946_24_C9_1;23;Mitochondria;HCCS;ENSG00000004961;A-431
  14.578783;10.726071;2946_24_C9_2;23;Mitochondria;HCCS;ENSG00000004961;A-431
  17.231377;  10.723402;2946_25_C9_1;23;Mitochondria;HCCS;ENSG00000004961;U-251 MG
 16.687342;  12.175362;2946_25_C9_2;23;Mitochondria;HCCS;ENSG00000004961;U-251 MG
 14.343225;  10.1362705 ;2946_25_C9_1;23;Mitochondria;HCCS;ENSG00000004961;U-251 MG
 16.538723;  12.208174;5692_29_G10_1;23;Mitochondria;TF;ENSG00000091513;U-2 OS
 14.290017;9.470894;5692_29_G10_2;23;Mitochondria;TF;ENSG00000091513;U-2 OS
 14.505632;10.080573;1912_31_A12_1;23;Mitochondria;TFAP4;ENSG00000090447;U-251 MG
 16.327078;  12.248101;1912_31_A12_2;23;Mitochondria;TFAP4;ENSG00000090447;U-251 MG
 16.191067;  12.325085;5692_31_G10_1;23;Mitochondria;TF;ENSG00000091513;U-251 MG
 15.662762;  11.662394;5692_31_G10_2;23;Mitochondria;TF;ENSG00000091513;U-251 MG
 15.222972;  10.136694;5835_33_C12_1;23;Mitochondria;ECH1;ENSG00000104823;A-431
 15.372889; 10.450518;5835_33_C12_2;23;Mitochondria;ECH1;ENSG00000104823;A-431
 14.471519; 10.411361;2866_35_B11_1;23;Mitochondria;SSBP1;ENSG00000106028;U-2 OS
 16.3895; 12.04403;2866_35_B11_2;23;Mitochondria;SSBP1;ENSG00000106028;U-2 OS
 15.390394;  11.192923;6366_35_C12_1;23;Mitochondria;POLRMT;ENSG00000099821;U-2 OS
 17.628765;  7.2942586 ;6366_35_C12_2;23;Mitochondria;POLRMT;ENSG00000099821;U-2 OS
 14.685382;  11.1899805;2815_35_G10_1;23;Mitochondria;UQCRC1;ENSG00000010256;U-2 OS
 17.625227; 10.855885;2815_35_G10_2;23;Mitochondria;UQCRC1;ENSG00000010256;U-2 OS
 15.732258;  9.3075;2866_36_B11_1;23;Mitochondria;SSBP1;ENSG00000106028;A-431
 17.62884;  7.199253;2866_36_B11_2;23;Mitochondria;SSBP1;ENSG00000106028;A-431
  17.737297;  8.543118;2866_37_B11_1;23;Mitochondria;SSBP1;ENSG00000106028;U-251 MG
  15.6471615;  9.481338;2866_37_B11_2;23;Mitochondria;SSBP1;ENSG00000106028;U-251 MG
   15.023541;  9.764631;6366_37_C12_1;23;Mitochondria;POLRMT;ENSG00000099821;U-251 MG
 16.289333;8.7947445;6366_37_C12_2;23;Mitochondria;POLRMT;ENSG00000099821;U-251 MG
 18.688166; 10.7611685;2543_38_D7_1;23;Mitochondria;TXNDC16;ENSG00000087301;U-2 OS
 17.974623;  11.446757;2543_38_D7_2;23;Mitochondria;TXNDC16;ENSG00000087301;U-2 OS
 15.756219;   9.511023;2543_40_D7_1;23;Mitochondria;TXNDC16;ENSG00000087301;U-251 MG
 17.816072;   11.37575;2543_40_D7_2;23;Mitochondria;TXNDC16;ENSG00000087301;U-251 MG
