x,y,id,location_code,location,gene,gene_ensembl_id,cell_line,nRoi,Avg_Intens,Avg_Area,Avg_Std,Avg_Mode,Avg_Feret,Avg_Median,Avg_Skewness,Avg_Kurtosis
-3.5734746,4.016695,70944_1304_D1_3,19,Centrosome,MTMR9,ENSG00000104643,A549 , 15 , 11.6104 , 5482.4667 , 9.7492 , 3.9333 , 210.2048 , 9.6667 , 2.1997 , 10.4396
-3.6890233,3.987122,71876_1406_B3_5,19,Centrosome,FGFR1OP,ENSG00000213066,U-2 OS , 14 , 1.732 , 6997 , 2.532 , 0 , 268.4436 , 0.3571 , 2.1038 , 7.2414
-2.6490653,3.3645172,74326_1778_E11_1,19,Centrosome,KIRREL2,ENSG00000126259,REH , 49 , 16.5854 , 3973.6735 , 13.7243 , 6.1837 , 145.7319 , 13.8776 , 2.4132 , 14.2958
-3.237552,3.8705013,73477_1403_E6_2,19,Centrosome,APPL1,ENSG00000157500,RH-30 , 18 , 21.7436 , 6859.8333 , 15.2567 , 14.4444 , 256.8938 , 18.7222 , 2.0559 , 8.6017
-3.0765784,3.3376586,73477_1403_E6_1,19,Centrosome,APPL1,ENSG00000157500,RH-30 , 20 , 17.6412 , 7667.35 , 10.9875 , 12.75 , 285.2083 , 15.95 , 1.6889 , 7.6845
-3.2332253,3.0163267,73477_1398_E6_2,19,Centrosome,APPL1,ENSG00000157500,U-2 OS , 12 , 32.9477 , 7232 , 20.2767 , 21.5833 , 280.6526 , 29.0833 , 1.4422 , 3.9515
-2.2742918,3.7028744,73477_1398_E6_1,19,Centrosome,APPL1,ENSG00000157500,U-2 OS , 17 , 33.2396 , 6798.0588 , 21.3843 , 21.8824 , 273.7462 , 28.9412 , 1.8073 , 6.5898
-3.7384923,4.1563783,71876_1536_D1_4,19,Centrosome,FGFR1OP,ENSG00000213066,Hep G2 , 27 , 3.9926 , 4576 , 6.0317 , 0 , 167.0983 , 1.7037 , 2.7944 , 16.3885
-3.7305996,4.1210613,71876_1536_D1_2,19,Centrosome,FGFR1OP,ENSG00000213066,Hep G2 , 32 , 3.7304 , 4115.375 , 6.533 , 0 , 158.3755 , 1.6875 , 3.4642 , 26.4194
-3.6972346,4.113757,71876_1406_B3_7,19,Centrosome,FGFR1OP,ENSG00000213066,U-2 OS , 12 , 1.6672 , 7866.1667 , 3.1507 , 0 , 306.2782 , 0.08333 , 3.1816 , 27.3603
-3.6665354,4.067209,71876_1400_B3_4,19,Centrosome,FGFR1OP,ENSG00000213066,U-251 MG , 16 , 1.3697 , 6767.3125 , 2.6832 , 0 , 255.4515 , 0 , 3.238 , 22.6444
-3.6825821,3.7626588,75418_1595_C4_1,19,Centrosome,ST7L,ENSG00000007341,AF22 , 25 , 9.9308 , 6103.76 , 8.6458 , 3.24 , 232.3962 , 8.16 , 2.2643 , 10.7677
-3.617184,4.172066,71876_1400_B3_1,19,Centrosome,FGFR1OP,ENSG00000213066,U-251 MG , 15 , 1.8507 , 7164.8667 , 3.6241 , 0 , 276.5974 , 0 , 2.9925 , 14.6978
-3.5089316,3.5320313,71138_1772_A3_4,19,Centrosome,CEP19,ENSG00000174007,U-2 OS , 12 , 6.2468 , 7735.1667 , 6.3755 , 0 , 303.9864 , 4.9167 , 2.2102 , 10.4089
-2.251447,-1.5566593,71138_1772_A3_2,19,Centrosome,CEP19,ENSG00000174007,U-2 OS , 15 , 8.1226 , 7782.4 , 7.1288 , 0.6667 , 295.8073 , 6.8 , 1.8465 , 7.9176
-3.68098,4.0055966,71138_1487_D12_8,19,Centrosome,CEP19,ENSG00000174007,SiHa , 19 , 2.7753 , 5225.3684 , 5.1167 , 0 , 203.5111 , 1.0526 , 2.9212 , 16.6185
-3.7338414,4.0853553,71138_1487_D12_1,19,Centrosome,CEP19,ENSG00000174007,SiHa , 17 , 10.2772 , 5523.0588 , 13.3021 , 0 , 218.2442 , 7.7059 , 4.6516 , 44.1657
-3.502683,-2.8758378,71138_1433_G4_2,19,Centrosome,CEP19,ENSG00000174007,PC-3 , 15 , 11.8957 , 5900.0667 , 18.8914 , 0 , 219.0593 , 7.0667 , 4.8148 , 35.4529
-3.9272869,-3.539615,71138_1433_G4_1,19,Centrosome,CEP19,ENSG00000174007,PC-3 , 10 , 13.2773 , 6017.2 , 15.8598 , 0 , 224.7819 , 9.1 , 3.2698 , 18.4658
-3.6135716,3.9834008,70944_1323_D1_3,19,Centrosome,MTMR9,ENSG00000104643,U-2 OS , 38 , 7.1671 , 6974.8947 , 9.2304 , 0 , 264.1794 , 5 , 3.9183 , 33.608
-2.365167,3.2886736,74326_1778_E11_2,19,Centrosome,KIRREL2,ENSG00000126259,REH , 47 , 12.0073 , 3810.383 , 10.4437 , 5.5532 , 140.6494 , 9.766 , 2.458 , 13.0452
-3.6540534,3.8472977,75418_1595_C4_2,19,Centrosome,ST7L,ENSG00000007341,AF22 , 31 , 9.4689 , 7291.6452 , 8.3045 , 2.4839 , 266.1247 , 7.7097 , 2.1485 , 8.9787
