x,y,id,location_code,location,gene,gene_ensembl_id,cell_line,nRoi,Avg_Intens,Avg_Area,Avg_Std,Avg_Mode,Avg_Feret,Avg_Median,Avg_Skewness,Avg_Kurtosis
6.1057262,-0.74451494,3886_36_H11_2,23,Mitochondria,NDUFB8,ENSG00000166136,A-431 , 14 , 81.5211 , 8015.8571 , 44.7843 , 83.8571 , 288.3517 , 73.0714 , 1.0307 , 1.2171
7.008771,-1.1836226,38939_528_C2_2,23,Mitochondria,SLC37A4,ENSG00000137700,U-2 OS , 25 , 7.5507 , 6590.52 , 11.1196 , 0 , 263.5716 , 3.6 , 3.0141 , 15.7809
7.106771,-1.2590332,38939_528_C2_1,23,Mitochondria,SLC37A4,ENSG00000137700,U-2 OS , 25 , 7.4862 , 6553.04 , 10.6793 , 0 , 258.8184 , 3.72 , 2.838 , 13.4247
6.912309,-1.2987258,38939_526_C2_2,23,Mitochondria,SLC37A4,ENSG00000137700,A-431 , 15 , 19.1435 , 7288.2 , 27.0456 , 0 , 264.4692 , 9.3333 , 2.9249 , 12.2902
6.9582148,-1.2433002,38939_526_C2_1,23,Mitochondria,SLC37A4,ENSG00000137700,A-431 , 13 , 14.4063 , 7925.6923 , 24.4634 , 0 , 288.1532 , 5.7692 , 3.4258 , 15.5855
6.499076,-0.7411448,38873_523_G12_3,23,Mitochondria,NDUFC2,ENSG00000151366,A-431 , 9 , 16.6346 , 7465.4444 , 18.6189 , 0 , 272.1333 , 11.4444 , 2.6443 , 12.226
6.890593,-1.1242965,38873_523_G12_2,23,Mitochondria,NDUFC2,ENSG00000151366,A-431 , 8 , 15.681 , 9121.75 , 16.7153 , 0 , 313.596 , 11.125 , 2.1547 , 6.841
6.0832057,-2.0303419,38873_520_G12_3,23,Mitochondria,NDUFC2,ENSG00000151366,U-251 MG , 19 , 36.8891 , 6027.7895 , 30.9046 , 7.4737 , 233.3387 , 28.5263 , 1.8742 , 5.1636
5.9696026,-1.0850426,38873_520_G12_1,23,Mitochondria,NDUFC2,ENSG00000151366,U-251 MG , 15 , 38.6282 , 6692.0667 , 36.1108 , 0 , 259.8038 , 27.4667 , 1.8554 , 4.601
6.65521,-1.1121643,38873_517_G12_2,23,Mitochondria,NDUFC2,ENSG00000151366,U-2 OS , 11 , 14.3304 , 8204.8182 , 14.8248 , 0.6364 , 320.4011 , 10.1818 , 2.3774 , 8.6999
6.552368,-0.9218894,38873_517_G12_1,23,Mitochondria,NDUFC2,ENSG00000151366,U-2 OS , 22 , 9.9114 , 6951.5909 , 10.2732 , 0.6818 , 271.0345 , 7.2727 , 2.4081 , 11.9359
7.2564616,-1.1006383,3886_37_H11_2,23,Mitochondria,NDUFB8,ENSG00000166136,U-251 MG , 5 , 46.3346 , 6599.6 , 37.9815 , 5.2 , 241.137 , 36.8 , 1.3841 , 2.7006
6.387474,-1.2140712,3886_37_H11_1,23,Mitochondria,NDUFB8,ENSG00000166136,U-251 MG , 5 , 35.1291 , 11906.2 , 28.3231 , 14 , 394.2777 , 27.8 , 1.7259 , 4.1464
4.923886,-0.4237305,3886_36_H11_1,23,Mitochondria,NDUFB8,ENSG00000166136,A-431 , 9 , 71.0967 , 8727.8889 , 38.1696 , 48.7778 , 322.035 , 62.8889 , 1.2883 , 2.3926
